timestamp,raw_differential,filtered_differential,uncertainty
2025-11-07 00:00:00+00:00,-0.011999999999999789,-0.011999999999999789,0.1073029709686856
2025-11-07 00:15:00+00:00,-0.010999999999999899,-0.011351220717919098,0.08692604379273125
2025-11-07 00:30:00+00:00,-0.011999999999999789,-0.011741253313994861,0.08367647823437793
2025-11-07 00:45:00+00:00,-0.010999999999999899,-0.011301348019706087,0.08313764117162976
2025-11-07 01:00:00+00:00,-0.011999999999999789,-0.011715077106496176,0.08304796748991837
2025-11-07 01:15:00+00:00,-0.0129999999999999,-0.012475711656520625,0.08303303617555952
2025-11-07 01:30:00+00:00,-0.0129999999999999,-0.012786055528029925,0.08303054979506391
2025-11-07 01:45:00+00:00,-0.014000000000000012,-0.013504622848115072,0.08303013575421246
2025-11-07 02:00:00+00:00,-0.010999999999999899,-0.012022069749216864,0.08303006680650937
2025-11-07 02:15:00+00:00,-0.010999999999999899,-0.011417079558351804,0.08303005532506359
2025-11-07 02:30:00+00:00,-0.01200000000000001,-0.01176212561150091,0.08303005341312743
2025-11-07 02:45:00+00:00,-0.01399999999999979,-0.013086782741537123,0.0830300530947442
2025-11-07 03:00:00+00:00,-0.0129999999999999,-0.013035413738082166,0.08303005304172574
2025-11-07 03:15:00+00:00,-0.0129999999999999,-0.013014451408461204,0.08303005303289691
2025-11-07 03:30:00+00:00,-0.0129999999999999,-0.013005897236999875,0.08303005303142669
2025-11-07 03:45:00+00:00,-0.010999999999999899,-0.011818553529641009,0.08303005303118186
2025-11-07 04:00:00+00:00,-0.010999999999999899,-0.01133403001336737,0.0830300530311411
2025-11-07 04:15:00+00:00,-0.0129999999999999,-0.012320161777142579,0.0830300530311343
2025-11-07 04:30:00+00:00,-0.01200000000000001,-0.012130649540715575,0.08303005303113317
2025-11-07 04:45:00+00:00,-0.01200000000000001,-0.012053314616883797,0.08303005303113299
2025-11-07 05:00:00+00:00,-0.01399999999999979,-0.013205609259506888,0.08303005303113295
2025-11-07 05:15:00+00:00,-0.01399999999999979,-0.01367583018085277,0.08303005303113294
2025-11-07 05:30:00+00:00,-0.01200000000000001,-0.012683861906939008,0.08303005303113294
2025-11-07 05:45:00+00:00,-0.010999999999999899,-0.011687139441608088,0.08303005303113294
2025-11-07 06:00:00+00:00,-0.010999999999999899,-0.011280403404975013,0.08303005303113294
2025-11-07 06:15:00+00:00,-0.0129999999999999,-0.012298278178734499,0.08303005303113294
2025-11-07 06:30:00+00:00,-0.011999999999999789,-0.012121719423864093,0.08303005303113294
2025-11-07 06:45:00+00:00,-0.014000000000000012,-0.013233523449309673,0.08303005303113294
2025-11-07 07:00:00+00:00,-0.0129999999999999,-0.0130952947340276,0.08303005303113294
2025-11-07 07:15:00+00:00,-0.0129999999999999,-0.013038887256762555,0.08303005303113294
2025-11-07 07:30:00+00:00,-0.011999999999999789,-0.0124239423711432,0.08303005303113294
2025-11-07 07:45:00+00:00,-0.01200000000000001,-0.012172999652157304,0.08303005303113294
2025-11-07 08:00:00+00:00,-0.010999999999999899,-0.011478670087296545,0.08303005303113294
2025-11-07 08:15:00+00:00,-0.008000000000000007,-0.00941955311862192,0.08303005303113294
2025-11-07 08:30:00+00:00,-0.010999999999999899,-0.010355061491036563,0.08303005303113294
2025-11-07 08:45:00+00:00,-0.010000000000000009,-0.01014489118952215,0.08303005303113294
2025-11-07 09:00:00+00:00,-0.010999999999999899,-0.010651052744809588,0.08303005303113294
2025-11-07 09:15:00+00:00,-0.010000000000000009,-0.01026567737988631,0.08303005303113294
2025-11-07 09:30:00+00:00,-0.008000000000000007,-0.00892456292482403,0.08303005303113294
2025-11-07 09:45:00+00:00,-0.006000000000000005,-0.007193436662965185,0.08303005303113294
2025-11-07 10:00:00+00:00,-0.008999999999999897,-0.00826278935492011,0.08303005303113294
2025-11-07 10:15:00+00:00,-0.016000000000000014,-0.012842649281181598,0.08303005303113294
2025-11-07 10:30:00+00:00,-0.008999999999999897,-0.010568083386461816,0.08303005303113294
2025-11-07 10:45:00+00:00,-0.006999999999999895,-0.008456040317606273,0.08303005303113294
2025-11-07 11:00:00+00:00,-0.011999999999999789,-0.010553803927028184,0.08303005303113294
2025-11-07 11:15:00+00:00,-0.008999999999999897,-0.009634066225019285,0.08303005303113294
2025-11-07 11:30:00+00:00,-0.008999999999999897,-0.009258745631103594,0.08303005303113294
2025-11-07 11:45:00+00:00,-0.010999999999999899,-0.010289440214894852,0.08303005303113294
2025-11-07 12:00:00+00:00,-0.006999999999999895,-0.008342333420069466,0.08303005303113294
2025-11-07 12:15:00+00:00,-0.006999999999999895,-0.0075477707126204345,0.08303005303113294
2025-11-07 12:30:00+00:00,-0.0009999999999998899,-0.0036719717886052584,0.08303005303113294
2025-11-07 12:45:00+00:00,0.001000000000000112,-0.0009065079344106855,0.08303005303113294
2025-11-07 13:00:00+00:00,0.0,-0.0003699218761927112,0.08303005303113294
2025-11-07 13:15:00+00:00,-0.0029999999999998916,-0.0019267347839324244,0.08303005303113294
2025-11-07 13:30:00+00:00,-0.0040000000000000036,-0.003153955382562218,0.08303005303113294
2025-11-07 13:45:00+00:00,-0.004999999999999893,-0.0042466780901790555,0.08303005303113294
2025-11-07 14:00:00+00:00,-0.006999999999999895,-0.00587644225937675,0.08303005303113294
2025-11-07 14:15:00+00:00,-0.006999999999999895,-0.00654150584716895,0.08303005303113294
2025-11-07 14:30:00+00:00,-0.008000000000000007,-0.007404827169238071,0.08303005303113294
2025-11-07 14:45:00+00:00,-0.005999999999999783,-0.006573272756303853,0.08303005303113294
