timestamp,jameson_isis_differential,isis_flag_status
2017-02-04 12:00:00+00:00,0.60358,Isis - Red
2017-02-04 13:00:00+00:00,0.54858,Isis - Red
2017-02-04 14:00:00+00:00,0.53919,Isis - Red
2017-02-04 15:00:00+00:00,0.5672,Isis - Red
2017-02-04 16:00:00+00:00,0.53889,Isis - Red
2017-02-04 18:00:00+00:00,0.54563,Isis - Red
2017-02-04 19:00:00+00:00,0.5435,Isis - Red
2017-02-04 20:00:00+00:00,0.54463,Isis - Red
2017-02-04 21:00:00+00:00,0.54324,Isis - Red
2017-02-04 23:00:00+00:00,0.5453,Isis - Red
2017-02-05 00:00:00+00:00,0.55217,Isis - Red
2017-02-05 00:00:00+00:00,0.55217,Isis - Red
2017-02-05 01:00:00+00:00,0.54504,Isis - Red
2017-02-05 02:00:00+00:00,0.54891,Isis - Red
2017-02-05 03:00:00+00:00,0.53375,Isis - Red
2017-02-05 04:00:00+00:00,0.54062,Isis - Red
2017-02-05 05:00:00+00:00,0.54275,Isis - Red
2017-02-05 08:00:00+00:00,0.54962,Isis - Red
2017-02-05 09:00:00+00:00,0.53849,Isis - Red
2017-02-05 10:00:00+00:00,0.54675,Isis - Red
2017-02-05 11:00:00+00:00,0.52809,Isis - Red
2017-02-05 12:00:00+00:00,0.45906,Isis - Amber
2017-02-05 13:00:00+00:00,0.46045,Isis - Amber
2017-02-05 14:00:00+00:00,0.45158,Isis - Amber
2017-02-05 16:00:00+00:00,0.4579,Isis - Amber
2017-02-05 17:00:00+00:00,0.44651,Isis - Amber
2017-02-05 18:00:00+00:00,0.46277,Isis - Amber
2017-02-05 19:00:00+00:00,0.45864,Isis - Amber
2017-02-05 20:00:00+00:00,0.45925,Isis - Amber
2017-02-05 21:00:00+00:00,0.44266,Isis - Amber
2017-02-05 22:00:00+00:00,0.44569,Isis - Amber
2017-02-05 23:00:00+00:00,0.4433,Isis - Amber
2017-02-06 00:00:00+00:00,0.4523,Isis - Amber
2017-02-06 00:00:00+00:00,0.4523,Isis - Amber
2017-02-06 02:00:00+00:00,0.44252,Isis - Amber
2017-02-06 04:00:00+00:00,0.43462,Isis - Amber
2017-02-06 06:00:00+00:00,0.44636,Isis - Amber
2017-02-06 07:00:00+00:00,0.44936,Isis - Amber
2017-02-06 08:00:00+00:00,0.44626,Isis - Amber
2017-02-06 09:00:00+00:00,0.44554,Isis - Amber
2017-02-06 10:00:00+00:00,0.43253,Isis - Amber
2017-02-06 11:00:00+00:00,0.43026,Isis - Amber
2017-02-06 14:00:00+00:00,0.29535,Isis - Dark Blue
2017-02-06 15:00:00+00:00,0.29335,Isis - Dark Blue
2017-02-06 16:00:00+00:00,0.29471,Isis - Dark Blue
2017-02-06 17:00:00+00:00,0.30023,Isis - Dark Blue
2017-02-06 18:00:00+00:00,0.30288,Isis - Dark Blue
2017-02-06 19:00:00+00:00,0.31189,Isis - Dark Blue
2017-02-06 20:00:00+00:00,0.32376,Isis - Dark Blue
2017-02-06 21:00:00+00:00,0.32924,Isis - Dark Blue
2017-02-06 22:00:00+00:00,0.31838,Isis - Dark Blue
2017-02-07 02:00:01+00:00,0.33637,Isis - Dark Blue
2017-02-07 03:00:00+00:00,0.3238,Isis - Dark Blue
2017-02-07 06:00:00+00:00,0.32754,Isis - Dark Blue
2017-02-07 07:00:00+00:00,0.34132,Isis - Dark Blue
2017-02-07 10:00:00+00:00,0.32987,Isis - Dark Blue
2017-02-07 11:00:00+00:00,0.32687,Isis - Dark Blue
2017-02-07 12:00:00+00:00,0.35504,Isis - Dark Blue
2017-02-07 13:00:00+00:00,0.34952,Isis - Dark Blue
2017-02-07 17:00:00+00:00,0.3494,Isis - Dark Blue
2017-02-07 18:00:00+00:00,0.3494,Isis - Dark Blue
2017-02-07 19:00:00+00:00,0.34627,Isis - Dark Blue
2017-02-07 20:00:00+00:00,0.3484,Isis - Dark Blue
2017-02-07 21:00:00+00:00,0.35692,Isis - Dark Blue
2017-02-07 23:00:00+00:00,0.34656,Isis - Dark Blue
2017-02-08 00:00:00+00:00,0.34243,Isis - Dark Blue
2017-02-08 00:00:00+00:00,0.34243,Isis - Dark Blue
2017-02-08 02:00:00+00:00,0.35308,Isis - Dark Blue
2017-02-08 03:00:00+00:00,0.35533,Isis - Dark Blue
2017-02-08 04:00:00+00:00,0.35546,Isis - Dark Blue
2017-02-08 05:00:00+00:00,0.35872,Isis - Dark Blue
2017-02-08 06:00:00+00:00,0.35346,Isis - Dark Blue
2017-02-08 10:00:00+00:00,0.35733,Isis - Dark Blue
2017-02-08 11:00:00+00:00,0.35746,Isis - Dark Blue
2017-02-08 13:00:00+00:00,0.34394,Isis - Dark Blue
2017-02-08 14:00:00+00:00,0.34619,Isis - Dark Blue
2017-02-08 15:00:00+00:00,0.33997,Isis - Dark Blue
2017-02-08 17:00:00+00:00,0.34558,Isis - Dark Blue
2017-02-08 18:00:00+00:00,0.34797,Isis - Dark Blue
2017-02-08 20:00:00+00:00,0.34684,Isis - Dark Blue
2017-02-08 21:00:00+00:00,0.34816,Isis - Dark Blue
2017-02-08 22:00:00+00:00,0.35852,Isis - Dark Blue
2017-02-09 00:00:00+00:00,0.34868,Isis - Dark Blue
2017-02-09 00:00:00+00:00,0.34868,Isis - Dark Blue
2017-02-09 01:00:00+00:00,0.34655,Isis - Dark Blue
2017-02-09 03:00:00+00:00,0.3421,Isis - Dark Blue
2017-02-09 04:00:00+00:00,0.34397,Isis - Dark Blue
2017-02-09 05:00:00+00:00,0.34697,Isis - Dark Blue
2017-02-09 06:00:00+00:00,0.34471,Isis - Dark Blue
2017-02-09 07:00:00+00:00,0.34758,Isis - Dark Blue
2017-02-09 09:00:00+00:00,0.34081,Isis - Dark Blue
2017-02-09 11:00:00+00:00,0.34781,Isis - Dark Blue
2017-02-09 14:00:00+00:00,0.36033,Isis - Dark Blue
2017-02-09 15:00:00+00:00,0.33655,Isis - Dark Blue
2017-02-09 18:00:00+00:00,0.3401,Isis - Dark Blue
2017-02-09 19:00:00+00:00,0.3391,Isis - Dark Blue
2017-02-09 21:00:00+00:00,0.33791,Isis - Dark Blue
2017-02-09 22:00:00+00:00,0.34443,Isis - Dark Blue
2017-02-09 23:00:00+00:00,0.3433,Isis - Dark Blue
2017-02-10 01:00:00+00:00,0.33552,Isis - Dark Blue
2017-02-10 02:00:00+00:00,0.33939,Isis - Dark Blue
2017-02-10 03:00:00+00:00,0.33427,Isis - Dark Blue
2017-02-10 04:00:00+00:00,0.33091,Isis - Dark Blue
2017-02-10 05:00:00+00:00,0.33465,Isis - Dark Blue
2017-02-10 06:00:00+00:00,0.34265,Isis - Dark Blue
2017-02-10 07:00:00+00:00,0.33813,Isis - Dark Blue
2017-02-10 08:00:00+00:00,0.34813,Isis - Dark Blue
2017-02-10 10:00:00+00:00,0.33575,Isis - Dark Blue
2017-02-10 11:00:00+00:00,0.33349,Isis - Dark Blue
2017-02-10 12:00:00+00:00,0.30374,Isis - Dark Blue
2017-02-10 13:00:00+00:00,0.29065,Isis - Dark Blue
2017-02-10 14:00:00+00:00,0.28775,Isis - Dark Blue
2017-02-10 15:00:00+00:00,0.2871,Isis - Dark Blue
2017-02-10 16:00:00+00:00,0.28723,Isis - Dark Blue
2017-02-10 17:00:00+00:00,0.27571,Isis - Dark Blue
2017-02-10 18:00:00+00:00,0.28697,Isis - Dark Blue
2017-02-10 20:00:00+00:00,0.28997,Isis - Dark Blue
2017-02-10 21:00:00+00:00,0.2901,Isis - Dark Blue
2017-02-10 22:00:00+00:00,0.28746,Isis - Dark Blue
2017-02-10 23:00:00+00:00,0.29272,Isis - Dark Blue
2017-02-11 00:00:00+00:00,0.28633,Isis - Dark Blue
2017-02-11 00:00:00+00:00,0.28633,Isis - Dark Blue
2017-02-11 01:00:00+00:00,0.29733,Isis - Dark Blue
2017-02-11 03:00:00+00:00,0.27753,Isis - Dark Blue
2017-02-11 04:00:00+00:00,0.2854,Isis - Dark Blue
2017-02-11 05:00:00+00:00,0.28288,Isis - Dark Blue
2017-02-11 08:00:00+00:00,0.2861,Isis - Dark Blue
2017-02-11 09:00:00+00:00,0.28575,Isis - Dark Blue
2017-02-11 10:00:00+00:00,0.28749,Isis - Dark Blue
2017-02-11 11:00:00+00:00,0.22144,Isis - Dark Blue
2017-02-11 14:00:00+00:00,0.19575,Isis - Green
2017-02-11 15:00:00+00:00,0.19855,Isis - Green
2017-02-11 16:00:00+00:00,0.19894,Isis - Green
2017-02-11 17:00:00+00:00,0.2002,Isis - Green
2017-02-11 18:00:00+00:00,0.19707,Isis - Green
2017-02-11 19:00:00+00:00,0.20459,Isis - Green
2017-02-11 20:00:00+00:00,0.19594,Isis - Green
2017-02-11 21:00:00+00:00,0.19504,Isis - Green
2017-02-11 22:00:00+00:00,0.19391,Isis - Green
2017-02-11 23:00:00+00:00,0.19791,Isis - Green
2017-02-12 00:00:00+00:00,0.19265,Isis - Green
2017-02-12 00:00:00+00:00,0.19265,Isis - Green
2017-02-12 01:00:00+00:00,0.19978,Isis - Green
2017-02-12 02:00:00+00:00,0.19652,Isis - Green
2017-02-12 03:00:00+00:00,0.19088,Isis - Green
2017-02-12 04:00:00+00:00,0.19701,Isis - Green
2017-02-12 05:00:00+00:00,0.19688,Isis - Green
2017-02-12 06:00:00+00:00,0.19788,Isis - Green
2017-02-12 07:00:00+00:00,0.19575,Isis - Green
2017-02-12 08:00:00+00:00,0.20088,Isis - Green
2017-02-12 09:00:00+00:00,0.19037,Isis - Green
2017-02-12 10:00:00+00:00,0.19237,Isis - Green
2017-02-12 11:00:00+00:00,0.19863,Isis - Green
2017-02-12 12:00:00+00:00,0.19276,Isis - Green
2017-02-12 13:00:00+00:00,0.1925,Isis - Green
2017-02-12 14:00:00+00:00,0.19976,Isis - Green
2017-02-12 15:00:00+00:00,0.20737,Isis - Green
2017-02-12 16:00:00+00:00,0.20185,Isis - Green
2017-02-12 17:00:00+00:00,0.20085,Isis - Green
2017-02-12 18:00:00+00:00,0.20172,Isis - Green
2017-02-12 19:00:00+00:00,0.20272,Isis - Green
2017-02-12 20:00:00+00:00,0.19862,Isis - Green
2017-02-12 22:00:00+00:00,0.19427,Isis - Green
2017-02-13 00:00:00+00:00,0.19627,Isis - Green
2017-02-13 00:00:00+00:00,0.19627,Isis - Green
2017-02-13 01:00:00+00:00,0.19414,Isis - Green
2017-02-13 03:00:00+00:00,0.19614,Isis - Green
2017-02-13 05:00:00+00:00,0.18875,Isis - Green
2017-02-13 06:00:00+00:00,0.19501,Isis - Green
2017-02-13 07:00:00+00:00,0.19701,Isis - Green
2017-02-13 08:00:00+00:00,0.19888,Isis - Green
2017-02-13 09:00:00+00:00,0.1913,Isis - Green
2017-02-13 10:00:00+00:00,0.19243,Isis - Green
2017-02-13 12:00:00+00:00,0.16191,Isis - Green
2017-02-13 13:00:00+00:00,0.15804,Isis - Green
2017-02-13 14:00:00+00:00,0.1563,Isis - Green
2017-02-13 15:00:00+00:00,0.16343,Isis - Green
2017-02-13 16:00:00+00:00,0.17784,Isis - Green
2017-02-13 17:00:00+00:00,0.17284,Isis - Green
2017-02-13 18:00:00+00:00,0.1731,Isis - Green
